Artist,Album,Year,ID,,,,,,,,,,,,,,,,,,,,,
Tina Turner,Happiness (Ungekürzte Lesung),2020,61au018pPt6LTJe90Rk4lw,,,,,,,,,,,,,,,,,,,,,
Tom Odell,Wrong Crowd (East 1st Street Piano Tapes),2016,7kjFml4wXG83f7EIvcDYZK,,,,,,,,,,,,,,,,,,,,,
Tom Petty,Finding Wildflowers (Alternate Versions),2021,0hRuPNZV5ff9JZwRBNqosj,,,,,,,,,,,,,,,,,,,,,
TOTO,Toto XX: 1977-1997,1998,5ziLBBZtDt3EZWMYOY2UuZ,,,,,,,,,,,,,,,,,,,,,
TOTO,Toto XIV (with Commentary),2015,6DsXY7r19P5eWjYMuib5ea,,,,,,,,,,,,,,,,,,,,,
Troye Sivan,Blue Neighbourhood (The Remixes),2016,0mhxJEWGDhp6tEE4uFhD7C,,,,,,,,,,,,,,,,,,,,,
Usher,Live,1999,2uPVIkklUbdENG9S2MgjTU,,,,,,,,,,,,,,,,,,,,,
Whitney Houston,I Wish You Love: More From The Bodyguard,2017,3qEUTNGTeDXwYwSl3v2hNV,,,,,,,,,,,,,,,,,,,,,
Whitney Houston,I Go To The Rock: The Gospel Music Of Whitney Houston,2023,7lKMNq3VtZKyDsLMlJP3qn,,,,,,,,,,,,,,,,,,,,,
Wisin & Yandel,La Revolucion Live,2010,6SlGFtD8repwofcI4SZ1Us,,,,,,,,,,,,,,,,,,,,,
