Artist,Album,Year,Popularity,Duration,Cover,ID,Language,acousticness,danceability,energy,instrumentalness,loudness,mode,speechiness,tempo,valence,liveness
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),2017,75,69.5,https://i.scdn.co/image/ab67616d0000b2730d5a84e4e47399d2726c330c,0zicd2mBV8HTzSubByj4vP,English,0.209,0.712,0.629,0.0,-5.832,0.6,0.2,123.513,0.413,0.193
Lil Uzi Vert,Luv Is Rage 2,2017,80,56.3,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,733e1ZfktLSwj96X5rsMeE,English,0.203,0.693,0.646,0.0,-5.896,0.562,0.19,120.263,0.416,0.206
Lil Uzi Vert,The Perfect LUV Tape,2016,68,32.6,https://i.scdn.co/image/ab67616d0000b2732143db1c88358d70dd898aa3,6LX75kNicFqjjiAOeZgN67,English,0.22,0.77,0.567,0.0,-7.563,0.7,0.222,141.347,0.418,0.152
Lil Uzi Vert,Lil Uzi Vert vs. The World,2016,70,33.9,https://i.scdn.co/image/ab67616d0000b2738be07181aa935225a6f25d56,7mgdTKTCdfnLoa1HXHvLYM,English,0.122,0.713,0.494,0.0,-8.12,0.333,0.176,131.761,0.286,0.155
Lil Uzi Vert,Luv Is Rage,2015,66,43.3,https://i.scdn.co/image/ab67616d0000b273dc7fa10440eb5ddd8d90a8aa,5WrbKW1nRN4vSsu70uizxX,English,0.224,0.69,0.713,0.0,-5.477,0.5,0.183,124.967,0.376,0.206
Lil Wayne,I Am Music,2023,54,78.6,https://i.scdn.co/image/ab67616d0000b273038c6347f907a6fedc8e2f2a,0Nur9t7M0miEBoAnQ3rPv2,English,0.133,0.644,0.719,0.0,-5.25,0.778,0.205,121.887,0.528,0.217
Lil Wayne,Sorry 4 The Wait,2022,62,53.4,https://i.scdn.co/image/ab67616d0000b273300af6c15e091795c7997d86,6MVsBi4m5eAzfjb6C3JKwp,English,0.131,0.692,0.64,0.0,-7.465,0.438,0.264,124.327,0.484,0.229
Lil Wayne,Trust Fund Babies,2021,47,28.6,https://i.scdn.co/image/ab67616d0000b27398d1486777ffe90167ebc5b4,2gDny6NDG26azxuTbtNxgq,English,0.124,0.749,0.621,0.0,-5.571,0.5,0.315,128.453,0.611,0.205
Lil Wayne,Tha Carter V (Deluxe),2020,52,126.2,https://i.scdn.co/image/ab67616d0000b273d9cc4a9ece3df3ad0b6cdcdc,4ljsev5vUnwB2BUFAMvwwy,English,0.154,0.744,0.663,0.0,-5.404,0.636,0.268,123.863,0.497,0.196
Lil Wayne,No Ceilings,2020,58,45.0,https://i.scdn.co/image/ab67616d0000b2730ecc76569dda9830ac05be7e,15rah8uTv13tEhScI9Nv8z,English,0.044,0.655,0.629,0.0,-7.294,0.583,0.351,113.945,0.469,0.268
Lil Wayne,Funeral (Deluxe),2020,52,103.0,https://i.scdn.co/image/ab67616d0000b2739f6fe42777cc1287ee4c06b2,49zB39sak50ghwZMwHQqQ0,English,0.199,0.732,0.634,0.0,-5.379,0.594,0.255,123.871,0.544,0.224
Lil Wayne,Funeral,2020,57,76.3,https://i.scdn.co/image/ab67616d0000b2731fceb0586044165d23cb0197,2x657XotA7LCsPElXmXX4W,English,0.234,0.713,0.625,0.0,-5.254,0.583,0.278,119.917,0.514,0.242
Lil Wayne,Tha Carter V,2018,70,87.9,https://i.scdn.co/image/ab67616d0000b273bb1138165ad4ec2306f4e886,50yFYgKdwJANZ5O9MIbMkg,English,0.204,0.735,0.646,0.0,-5.753,0.783,0.278,117.274,0.459,0.2
Lil Wayne,FWA,2015,47,56.0,https://i.scdn.co/image/ab67616d0000b273b1ce5dfb05567297f910ae20,2wVTLpA19kpk5qmkTASir0,English,0.089,0.641,0.692,0.0,-5.37,0.231,0.351,106.909,0.413,0.174
Lil Wayne,I Am Not A Human Being II,2013,41,61.3,https://i.scdn.co/image/ab67616d0000b273beed8fc73fd7c5fbee109a92,2EZ3h6cM5eC65qSHCghdIZ,English,0.07,0.737,0.661,0.0,-6.277,0.786,0.217,120.555,0.575,0.236
Lil Wayne,I Am Not A Human Being II (Deluxe),2013,75,72.9,https://i.scdn.co/image/ab67616d0000b27380c64a084164867806ea617a,6Pqlfg42Sc3ElNuyt5NUiK,English,0.088,0.738,0.644,0.0,-6.294,0.765,0.212,122.255,0.561,0.248
Lil Wayne,Tha Carter IV (Complete Edition),2011,75,83.4,https://i.scdn.co/image/ab67616d0000b273e80b258c7e0b318202870953,0pFydyko4Iw450abXlDPpp,English,0.097,0.56,0.766,0.0,-5.883,0.524,0.159,115.038,0.399,0.241
Lil Wayne,I Am Not A Human Being,2010,64,55.6,https://i.scdn.co/image/ab67616d0000b273229411bccce65156241b6190,5vfnsOgLqsgmEb3vGyc2FO,English,0.122,0.542,0.741,0.0,-5.212,0.769,0.277,113.437,0.521,0.282
Lil Wayne,Rebirth (Deluxe),2009,46,54.9,https://i.scdn.co/image/ab67616d0000b2739adf7391077125689b1c9841,40VtQmfgdaVmh95sjosyQq,English,0.029,0.635,0.813,0.001,-4.307,0.5,0.07,127.095,0.47,0.249
Lil Wayne,Rebirth,2009,56,46.8,https://i.scdn.co/image/ab67616d0000b273801cf8805673d07eb26da351,2v3xdUz73rd6Nness5SSIh,English,0.031,0.634,0.807,0.001,-4.243,0.417,0.075,128.989,0.487,0.251
Lil Wayne,Tha Carter III,2008,72,78.1,https://i.scdn.co/image/ab67616d0000b27333ebdffaa447ff19ce9f24bb,5BGzOpea6At0Nd7tYtYZOP,English,0.091,0.681,0.58,0.0,-8.258,0.5,0.225,125.08,0.527,0.259
Lil Wayne,Tha Carter III (MTV Bonus Version),2008,66,86.3,https://i.scdn.co/image/ab67616d0000b27302a999c3a283b5392e57737d,4fRZNOawjx1uzGLN3VhAZ4,English,0.09,0.661,0.608,0.0,-8.518,0.556,0.224,110.755,0.542,0.329
Lil Yachty,Let’s Start Here.,2023,72,57.3,https://i.scdn.co/image/ab67616d0000b2736f578b21bce56056473da7e6,6Per97deaWqrJlKQNX8RGK,English,0.293,0.417,0.662,0.297,-6.379,0.5,0.076,124.129,0.384,0.39
Lil Yachty,Michigan Boy Boat,2021,57,40.3,https://i.scdn.co/image/ab67616d0000b273ce747f352b4b912c229fd84f,1WELnoLbD0VAAg1HvI3VbC,English,0.048,0.725,0.622,0.003,-7.401,0.714,0.285,139.186,0.32,0.209
Lil Yachty,Lil Boat 3.5,2020,65,73.2,https://i.scdn.co/image/ab67616d0000b273789e7bbd2cc0ae4085b4d59f,6ufaA5YvSGK3E9KnRFYvvo,English,0.123,0.805,0.591,0.0,-6.093,0.519,0.222,136.457,0.575,0.184
Lil Yachty,Lil Boat 3,2020,63,53.8,https://i.scdn.co/image/ab67616d0000b2735ee839f6415e0d02fc4f2b49,2CYr9450iYkEWq4IWL8plY,English,0.135,0.826,0.576,0.0,-6.176,0.632,0.249,133.213,0.604,0.197
